dmrec,file,identifier,title,description,local_collection_name,local_collection_id,photographer,date,subject,location,resource_type,format,rights_statement,license,rights_holder,parents,institution,model,has_finding_aid,visibility,repository,full_size_download_allowed
,PHP395_UP_VB_20240830_01.tif,PHP395_UP_VB_20240830_01,"Erika Dillard, 2024","Color photo of University of Oregon associate head volleyball coach Erika Dillard drilling players before a match against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/DillardErika|http://id.loc.gov/authorities/subjects/sh93010609,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_02.tif,PHP395_UP_VB_20240830_02,"Colby Neal & Noemie Glover, 2024","Color photo of University of Oregon volleyball player Colby Neal (#7) getting a hand on the ball as she and Noemie Glover (#3) leap at the net to block an attack during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/NealColby|http://opaquenamespace.org/ns/people/GloverNoemie|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_03.tif,PHP395_UP_VB_20240830_03,"Mackenzie Morris, 2024","Color photo of University of Oregon volleyball player Mackenzie Morris (#20) waiting for service during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/MorrisMackenzie|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_04.tif,PHP395_UP_VB_20240830_04,"Roberta Purashaj & Onye Ofoegbu, 2024","Color photo of University of Oregon volleyball players Roberta Purashaj (#21) Onye Ofoegbu (#13) leaping at the net to block an attack during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/PurashajRoberta|http://opaquenamespace.org/ns/people/OfoegbuOnye|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_05.tif,PHP395_UP_VB_20240830_05,"Roberta Purashaj, 2024","Color photo of University of Oregon volleyball player Roberta Purashaj (#21) setting the ball during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. Also pictured are Daley McClellan (#4), Michelle Ohwobete (#19) and Onye Ofoegbu (#13). The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,###############################################################################################################################################################################################################################################################,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_06.tif,PHP395_UP_VB_20240830_06,"Onye Ofoegbu, 2024","Color photo of University of Oregon volleyball player Onye Ofoegbu (#13) hitting the ball past a blocker during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/OfoegbuOnye|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_07.tif,PHP395_UP_VB_20240830_07,"Daley McClellan, 2024","Color photo of University of Oregon volleyball player Daley McClellan (#4) serving during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/McClellanDaley|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_08.tif,PHP395_UP_VB_20240830_08,"Onye Ofoegbu & Mimi Colyer, 2024","Color photo of University of Oregon volleyball player Onye Ofoegbu (#13) getting a hand on the ball as she and Mimi Colyer (#15) leap at the net to block an attack during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/OfoegbuOnye|http://opaquenamespace.org/ns/people/ColyerMimi|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_09.tif,PHP395_UP_VB_20240830_09,"Sophie Gregoire, 2024","Color photo of University of Oregon volleyball player Sophie Gregoire (#6) swinging from the outside during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/GregoireSophie|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_VB_20240830_10.tif,PHP395_UP_VB_20240830_10,"Isabel Patterson, 2024","Color photo of University of Oregon volleyball player Isabel Patterson (#23) serving during a game against Pittsburgh on August 30, 2024 at Matthew Knight Arena. The Ducks lost the match 0-3.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-30,http://opaquenamespace.org/ns/people/PattersonIsabel|http://id.loc.gov/authorities/subjects/sh97002227,https://sws.geonames.org/9166200/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
