dmrec,file,identifier,title,description,local_collection_name,local_collection_id,photographer,date,subject,location,resource_type,format,rights_statement,license,rights_holder,parents,institution,model,has_finding_aid,visibility,repository,full_size_download_allowed
,PHP395_UP_SOC_20240815_01.tif,PHP395_UP_SOC_20240815_01,"Anna Solomon, 2024","Color photo of University of Oregon goalkeeper Anna Solomon (#1) diving to make a save during warmups before a soccer game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/SolomonAnna|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_02.tif,PHP395_UP_SOC_20240815_02,"Mako Nezu, 2024","Color photo of University of Oregon soccer player  Mako Nezu (#8) running onto the field before a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/NezuMakoto|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_03.tif,PHP395_UP_SOC_20240815_03,"Soccer pre-game, 2024","Color photo of University of Oregon soccer players marching onto the field along with their opponents and the officials before a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_04.tif,PHP395_UP_SOC_20240815_04,"Lexi Lerwick, 2024","Color photo of University of Oregon soccer player Lexi Lerwick (#2) during player introductions before a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/LerwickLexi|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_05.tif,PHP395_UP_SOC_20240815_05,"Cloe Chase, 2024","Color photo of University of Oregon soccer player Trinity Morales (#7) during player introductions before a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/ChaseCloe|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_06.tif,PHP395_UP_SOC_20240815_06,"Trinity Morales, 2024","Color photo of University of Oregon soccer player Cloe Chase (#6) during player introductions before a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/MoralesTrinity|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_07.tif,PHP395_UP_SOC_20240815_07,"Sydney Cradle, 2024","Color photo of University of Oregon soccer player Sydney Cradle (#36) passing the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/CradleSydney|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_08.tif,PHP395_UP_SOC_20240815_08,"Sydney Cradle, 2024","Color photo of University of Oregon soccer player Sydney Cradle (#36) kicking the ball across the field during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/CradleSydney|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_09.tif,PHP395_UP_SOC_20240815_09,"Haley McWhirter, 2024","Color photo of University of Oregon soccer player Haley McWhirter (#12) racing an opponent for the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/McWhirterHaley|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_10.tif,PHP395_UP_SOC_20240815_10,"Cameron Bourne, 2024","Color photo of University of Oregon soccer player Cameron Bourne (#13) tangling with an opponent for control of the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/BourneCameron|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
